,Country Name,Country Code,year,annualFreshwater,arableLand,foodProductionIndex,agriculturalGDP,name,region,sub-region,AgriculturalLand,GDP,aGDP
182,France,FRA,2012,28.063,0.278430579,97.66999817,1.631795037,France,Europe,Western Europe,52.67908181,2683670000000.0,4379199386945.79
183,France,FRA,2017,26.436,0.275925184,101.3700027,1.542414774,France,Europe,Western Europe,52.4100669,2595150000000.0,4002797700746.1
184,Mexico,MEX,1982,57.19008571,0.250426936,48.22999954,5.37348336,Mexico,Americas,Latin America and the Caribbean,50.57486046,184609000000.0,991993389606.24
185,Mexico,MEX,1987,60.2403,0.242853287,54.65000153,6.416472205,Mexico,Americas,Latin America and the Caribbean,52.75341444,147541000000.0,946692725597.905
186,Mexico,MEX,1992,63.29051429,0.257582141,56.20999908,5.99898081,Mexico,Americas,Latin America and the Caribbean,54.61920317,363158000000.0,2178577872997.98
187,Mexico,MEX,1997,66.34072857,0.240828213,65.23999786,4.450286752,Mexico,Americas,Latin America and the Caribbean,54.68762057,500413000000.0,2226981344428.576
188,Mexico,MEX,2002,72.3,0.227998759,76.02999878,3.278281855,Mexico,Americas,Latin America and the Caribbean,54.81108053,772106000000.0,2531181089936.63
189,Mexico,MEX,2007,78.65,0.215433651,85.86000061,3.181714703,Mexico,Americas,Latin America and the Caribbean,54.88824301,1052700000000.0,3349391067848.1
190,Mexico,MEX,2012,82.73,0.171444423,91.80999756,3.173924967,Mexico,Americas,Latin America and the Caribbean,52.54147483,1201090000000.0,3812169538614.0303
191,Mexico,MEX,2017,87.84,0.191581281,108.2099991,3.381073882,Mexico,Americas,Latin America and the Caribbean,55.02404897,1158910000000.0,3918360332588.62
192,Malta,MLT,1982,0.0248,0.036821337,78.51999664,3.730866986,Malta,Europe,Southern Europe,40.625,1234518125.0,4605822916.181122
193,Malta,MLT,1987,0.02618,0.034834608,89.77999878,4.009488548,Malta,Europe,Southern Europe,40.625,1751247763.0,7021607850.459119
